Transaction_ID,User_ID,Location_ID,Transaction_Type,Amount_IDR,Transaction_Time,Status,Device_Type
T1,U101,L1,Deposit,50000,"2024-09-01 10:00:00",Success,Mobile
T2,U102,L2,Withdrawal,10000,"2024-09-01 10:05:00",Success,Web
T3,U103,L3,Deposit,150000,"2024-09-01 10:10:00",Success,Mobile
T4,U104,L1,Fee,5000,"2024-09-01 10:15:00",Success,Mobile
T5,U105,L4,Deposit,25000,"2024-09-01 10:20:00",Success,Web
T6,U101,L1,Withdrawal,20000,"2024-09-01 10:25:00",Success,Mobile
T7,U106,L5,Deposit,80000,"2024-09-02 11:00:00",Success,Mobile
T8,U107,L2,Withdrawal,30000,"2024-09-02 11:05:00",Failed,Mobile
T9,U108,L3,Deposit,100000,"2024-09-02 11:10:00",Success,Web
T10,U109,L4,Fee,7500,"2024-09-02 11:15:00",Success,Mobile
T11,U101,L1,Deposit,50000,"2024-09-03 12:00:00",Success,Mobile
T12,U102,L5,Withdrawal,15000,"2024-09-03 12:05:00",Success,Web
T13,U110,L2,Deposit,200000,"2024-09-03 12:10:00",Success,Mobile
T14,U111,L3,Fee,5000,"2024-09-03 12:15:00",Success,Mobile
T15,U112,L4,Deposit,35000,"2024-09-04 13:00:00",Success,Mobile
T16,U113,L1,Withdrawal,25000,"2024-09-04 13:05:00",Success,Web
T17,U114,L5,Deposit,120000,"2024-09-04 13:10:00",Success,Mobile
T18,U115,L2,Fee,6000,"2024-09-04 13:15:00",Success,Mobile
T19,U101,L3,Deposit,70000,"2024-09-05 14:00:00",Success,Mobile
T20,U116,L4,Withdrawal,40000,"2024-09-05 14:05:00",Success,Web
T21,U117,L5,Deposit,180000,"2024-09-06 15:00:00",Success,Mobile
T22,U118,L1,Fee,5000,"2024-09-06 15:05:00",Success,Mobile
T23,U119,L2,Deposit,60000,"2024-09-06 15:10:00",Success,Web
T24,U120,L3,Withdrawal,50000,"2024-09-07 16:00:00",Success,Mobile
T25,U121,L4,Deposit,90000,"2024-09-07 16:05:00",Success,Mobile
T26,U122,L5,Fee,7000,"2024-09-07 16:10:00",Success,Mobile
T27,U123,L1,Deposit,110000,"2024-09-08 17:00:00",Success,Web
T28,U124,L2,Withdrawal,60000,"2024-09-08 17:05:00",Failed,Mobile
T29,U125,L3,Deposit,40000,"2024-09-08 17:10:00",Success,Mobile
